memory;storage;selling_price_dolar
3;32;2
3;32;2
3;32;3
3;32;2
1;8;3
4;64;3
4;64;3
4;64;3
4;64;3
4;64;3
1;4;3
3;32;3
3;32;2
3;32;2
4;32;3
2;16;3
2;16;1
2;16;1
6;128;3
1;8;1
2;8;1
4;32;2
3;32;3
2;32;3
2;16;2
2;16;2
1;8;1
1;8;1
4;64;2
3;32;2
3;16;2
2;16;1
1;8;1
1;8;1
1;8;2
4;64;3
1;4;3
2;16;1
1;16;1
2;16;1
3;32;2
3;32;2
3;32;2
2;32;1
1;16;3
4;64;2
4;64;2
2;16;1
4;64;3
4;32;3
3;32;3
3;32;3
4;64;3
4;64;3
4;64;2
3;32;3
3;32;1
4;32;3
3;32;2
3;32;3
3;32;3
3;32;1
2;16;1
1;8;3
4;32;3
3;16;2
2;32;3
1;4;3
3;32;3
4;32;3
3;32;3
3;32;1
2;32;3
4;32;3
4;32;2
4;32;2
3;16;2
2;16;2
1;8;1
3;32;2
3;32;2
2;32;3
2;8;1
3;64;3
2;16;3
3;32;3
1;8;3
3;32;3
3;32;3
4;32;3
4;32;2
3;16;2
2;16;2
3;32;2
1;4;3
2;16;1
2;16;3
2;8;2
1;8;2
2;16;1
1;16;3
1;8;1
3;32;3
3;16;2
2;16;1
2;16;1
1;8;1
1;8;1
1;8;2
4;64;3
1;16;1
2;16;2
2;32;2
2;16;2
2;8;3
2;16;2
2;16;2
