memory;storage;selling_price_dolar
3;32;3
1;16;3
4;64;3
4;64;3
6;64;2
4;64;3
6;64;3
4;64;3
3;32;3
1;8;3
4;64;3
3;32;2
3;32;2
2;32;3
2;16;1
2;16;3
2;16;2
1;16;1
6;64;3
4;64;1
4;64;3
3;32;2
8;256;3
2;16;1
2;16;1
6;128;3
6;128;3
6;128;3
4;64;2
4;64;3
4;64;3
4;64;3
6;64;3
4;64;3
4;64;1
4;64;2
4;128;2
4;128;3
4;64;2
4;64;1
4;64;2
4;64;1
2;32;1
4;32;1
6;128;3
4;128;3
4;128;3
4;64;3
2;16;2
3;32;2
2;16;1
3;32;2
4;32;1
4;64;2
3;32;3
6;128;3
8;128;3
4;64;2
4;64;3
4;64;2
2;16;2
6;128;3
3;16;1
6;128;3
6;128;3
4;64;2
4;64;2
4;64;2
4;32;1
4;64;3
3;32;3
3;32;2
4;64;1
4;64;2
4;64;1
4;64;1
2;32;1
12;256;3
6;128;3
4;64;2
3;32;3
4;64;1
4;64;2
3;32;3
8;128;3
6;128;3
4;64;2
4;64;3
6;128;3
1;8;2
2;16;1
2;16;3
1;16;1
4;128;2
6;128;3
1;8;1
4;64;3
3;32;1
2;16;1
1;16;1
2;16;1
