memory;storage;selling_price_dolar
4;64;2
6;64;3
8;256;3
6;256;3
6;128;3
4;64;2
6;64;2
6;64;2
6;128;3
6;128;1
6;128;2
8;128;3
6;128;3
8;128;3
8;128;3
4;64;1
6;64;1
4;64;1
3;32;1
8;256;3
8;128;3
6;128;3
6;128;2
6;64;3
6;64;2
4;64;2
8;256;3
6;128;2
4;64;1
6;64;2
6;64;2
4;64;2
3;32;1
6;128;3
6;128;2
8;128;3
8;128;3
6;128;1
6;128;2
8;128;3
6;128;3
6;64;1
4;64;1
4;64;1
4;64;1
3;32;1
6;128;2
6;64;2
4;64;1
4;64;2
3;32;1
6;128;2
4;64;1
3;32;1
4;64;1
8;256;3
6;128;2
6;128;3
6;64;2
8;256;3
8;256;3
6;128;3
6;128;2
6;64;1
6;128;1
6;128;3
8;128;3
4;64;2
6;128;3
8;128;3
6;64;1
4;64;1
6;128;2
