memory;storage;selling_price_dolar
6;128;2
4;64;2
3;64;1
4;64;2
3;32;1
3;32;1
3;32;1
4;128;2
4;64;1
4;64;3
4;64;1
4;64;1
4;64;2
6;64;2
4;64;1
4;64;1
4;64;2
3;32;1
3;32;1
2;32;1
2;32;1
3;32;1
8;256;3
12;256;3
2;16;1
6;128;3
8;128;3
8;128;3
6;128;3
8;128;3
6;128;2
8;128;3
4;64;2
6;64;2
4;64;1
4;64;1
2;32;1
6;64;2
4;64;1
2;32;1
3;32;1
6;128;3
4;128;2
8;128;3
6;128;3
8;128;3
6;128;2
6;128;3
8;128;3
8;128;3
4;128;2
8;128;2
8;128;3
6;128;3
8;128;3
6;128;3
12;256;3
4;64;3
4;64;3
4;64;2
3;64;1
4;64;1
6;64;2
4;64;3
3;32;1
3;32;1
3;32;1
8;256;3
8;128;3
8;128;3
8;128;2
4;128;3
4;128;2
4;128;2
4;128;2
6;128;3
6;128;3
8;128;3
8;128;3
6;128;3
4;64;3
4;64;1
6;64;3
4;64;2
4;64;2
4;64;3
4;64;1
4;64;3
4;64;3
4;64;2
4;64;1
4;64;2
6;64;2
4;64;2
4;64;1
4;64;1
3;64;1
4;64;1
4;64;1
4;128;2
8;128;2
4;64;1
3;32;1
3;32;1
3;32;1
2;32;1
2;32;1
3;32;1
3;32;1
3;32;1
4;32;2
12;256;3
2;16;1
8;128;3
6;128;2
4;128;3
6;128;3
8;128;3
6;128;3
6;128;3
8;128;3
8;128;3
8;128;3
4;128;2
8;128;2
4;64;2
4;64;2
4;64;2
4;64;1
6;64;2
4;64;1
4;64;1
6;64;2
4;64;2
4;64;2
3;32;1
3;32;1
3;32;2
3;32;1
2;32;1
2;32;1
8;256;3
8;128;3
4;128;2
8;128;3
4;128;2
6;128;2
4;128;2
6;128;3
6;128;3
8;128;3
6;128;2
4;128;2
4;64;1
12;256;3
12;256;3
3;32;1
3;32;1
6;128;2
4;64;2
3;64;2
3;32;1
4;64;2
6;64;2
4;64;2
4;64;3
4;64;3
8;256;3
4;128;2
4;128;2
8;128;2
8;128;3
4;128;2
6;128;3
4;64;2
8;128;3
2;32;1
8;256;3
8;128;3
4;128;2
8;128;3
6;128;3
6;128;3
4;64;2
4;64;2
12;256;3
12;256;3
4;128;2
4;128;2
8;128;3
8;128;3
12;256;3
4;64;3
4;128;2
4;64;1
4;64;3
4;64;1
2;32;1
2;32;1
3;32;1
4;128;3
4;128;2
2;32;1
12;256;3
8;256;3
8;128;3
4;64;1
6;128;3
8;128;3
6;128;3
12;256;3
3;32;1
3;32;1
6;128;3
8;128;3
6;64;3
4;64;1
4;64;1
4;64;1
4;64;3
3;32;1
3;32;2
3;32;1
3;32;1
3;32;1
6;128;3
8;128;3
12;256;3
6;128;2
8;128;3
4;64;3
4;64;2
4;64;2
4;64;1
4;64;2
4;64;3
3;32;1
12;256;3
8;128;3
4;64;1
4;64;2
6;64;2
6;64;2
4;64;2
3;32;1
3;32;1
3;32;2
6;128;3
6;128;2
6;128;2
4;128;2
6;128;2
8;128;3
4;128;2
8;128;3
6;128;2
12;256;3
6;64;2
4;64;2
4;64;1
4;64;3
3;32;1
8;256;3
8;128;2
8;128;3
8;128;3
8;128;3
8;128;3
8;128;3
4;128;2
6;128;3
8;128;3
8;128;3
4;128;3
6;64;2
4;64;2
4;64;2
6;64;2
4;64;1
6;128;3
8;128;2
6;128;3
6;128;2
8;128;3
6;64;2
6;64;2
6;64;2
4;64;2
8;256;3
8;256;3
8;128;3
8;128;2
8;128;3
8;128;3
12;256;3
12;256;3
8;128;3
8;128;3
12;256;3
6;128;3
6;128;2
