Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
realme;9;9 5G;Black;1;6;128;4.8;5;211.47;2
realme;9;9i;Black;1;4;64;4.5;5;169.17;2
realme;9;3;Black;1;3;64;4.5;5;114.79;1
realme;9;9 5G;Black;1;4;64;4.5;5;181.26;2
realme;9;3;Black;1;3;32;4.5;5;102.71;1
realme;9;3;Black;1;3;32;4.5;5;102.71;1
realme;9;2;Black;1;3;32;4.5;5;120.73;1
realme;9;C35;Black;1;4;128;4.5;5;157.09;2
realme;9;3;Black;1;4;64;4.4;4;126.88;1
realme;9;1;Black;1;4;64;4.4;4;132.81;3
realme;9;C21;Black;1;4;64;4.4;4;120.83;1
realme;9;3;Black;1;4;64;4.4;4;126.88;1
realme;9;6i;Black;1;4;64;4.4;4;157.09;2
realme;9;6i;Black;1;6;64;4.4;4;169.17;2
realme;9;3i;Black;1;4;64;4.4;4;126.88;1
realme;9;C21Y;Black;1;4;64;4.4;4;120.83;1
realme;9;2;Black;1;4;64;4.4;4;144.89;2
realme;9;2;Black;1;3;32;4.5;5;120.73;1
realme;9;C21;Black;1;3;32;4.4;4;108.75;1
realme;9;C2;Black;1;2;32;4.4;4;84.58;1
realme;9;Narzo 50i;Black;1;2;32;4.4;4;90.62;1
realme;9;U1;Black;1;3;32;4.4;4;100.12;1
realme;9;9 Pro+ 5G;Black;1;8;256;4.4;4;350.44;3
realme;9;GT Neo 2;Black;1;12;256;4.4;4;435.03;3
realme;9;C2;Black;1;2;16;4.4;4;78.54;1
realme;9;9 Pro 5G;Black;1;6;128;4.4;4;217.51;3
realme;9;9 Pro+ 5G;Black;1;8;128;4.4;4;326.27;3
realme;9;8 Pro;Black;1;8;128;4.4;4;241.68;3
realme;9;9 Pro+ 5G;Black;1;6;128;4.4;4;302.1;3
realme;9;GT Neo 2;Black;1;8;128;4.4;4;386.69;3
realme;9;9i;Black;1;6;128;4.4;4;193.34;2
realme;9;9 Pro 5G;Black;1;8;128;4.4;4;253.76;3
realme;9;8 5G;Black;1;4;64;4.3;4;187.3;2
realme;9;Narzo 30 Pro 5G;Black;1;6;64;4.3;4;205.43;2
realme;9;Narzo 50i;Black;1;4;64;4.3;4;108.75;1
realme;9;Narzo 30A;Black;1;4;64;4.3;4;126.88;1
realme;9;C2;Black;1;2;32;4.4;4;95.27;1
realme;9;6i;Black;1;6;64;4.4;4;190.55;2
realme;9;1;Black;1;4;64;4.4;4;118.98;1
realme;9;Narzo 50i;Black;1;2;32;4.3;4;90.62;1
realme;9;Narzo 30A;Black;1;3;32;4.3;4;108.75;1
realme;9;X7 5G;Black;1;6;128;4.3;4;241.68;3
realme;9;8 5G;Black;1;4;128;4.3;4;199.38;2
realme;9;8;Black;1;8;128;4.3;4;217.51;3
realme;9;1;Black;1;6;128;4.3;4;132.92;3
realme;9;X7 5G;Black;1;8;128;4.3;4;265.85;3
realme;9;8;Black;1;6;128;4.3;4;205.43;2
realme;9;X7 5G;Black;1;6;128;4.3;4;241.68;3
realme;9;X7 Pro 5G;Black;1;8;128;4.3;4;362.53;3
realme;9;X7 5G;Black;1;8;128;4.3;4;265.85;3
realme;9;8;Black;1;4;128;4.3;4;193.34;2
realme;9;Narzo 20 Pro;Black;1;8;128;4.3;4;205.43;2
realme;9;8 5G;Black;1;8;128;4.3;4;223.55;3
realme;9;8 Pro;Black;1;6;128;4.3;4;217.51;3
realme;9;Narzo 30 Pro 5G;Black;1;8;128;4.3;4;241.68;3
realme;9;GT Master Edition;Black;1;6;128;4.1;4;314.19;3
realme;9;X2 Pro;Blue;2;12;256;4.6;5;435.03;3
realme;9;5i;Blue;2;4;64;4.5;5;132.92;3
realme;9;X2;Blue;2;4;64;4.5;5;217.51;3
realme;9;9i;Blue;2;4;64;4.5;5;169.17;2
realme;9;3;Blue;2;3;64;4.5;5;114.79;1
realme;9;Narzo 10A;Blue;2;4;64;4.5;5;120.83;1
realme;9;5 Pro;Blue;2;6;64;4.5;5;181.26;2
realme;9;C25Y;Blue;2;4;64;4.5;5;132.92;3
realme;9;Narzo 10A;Blue;2;3;32;4.5;5;108.75;1
realme;9;3;Blue;2;3;32;4.5;5;102.71;1
realme;9;3;Blue;2;3;32;4.5;5;102.71;1
realme;9;X2;Blue;2;8;256;4.5;5;302.1;3
realme;9;X2;Blue;2;8;128;4.5;5;253.76;3
realme;9;9 5G SE;Blue;2;8;128;4.5;5;277.93;3
realme;9;5 Pro;Blue;2;8;128;4.5;5;205.43;2
realme;9;X;Blue;2;4;128;4.5;5;217.51;3
realme;9;5i;Blue;2;4;128;4.5;5;145;2
realme;9;5s;Blue;2;4;128;4.5;5;145;2
realme;9;Narzo 10;Blue;2;4;128;4.5;5;145;2
