Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
vivo;11;S2;Black;1;4;128;5;5;241.57;2
vivo;11;Y33T;Black;1;8;128;4.9;5;277.82;3
vivo;11;Z1 Pro;Black;1;4;64;4.5;5;193.23;3
vivo;11;Z1 Pro;Black;1;4;64;4.5;5;193.23;3
vivo;11;V9;Black;1;4;64;4.5;5;229.49;2
vivo;11;X70 Pro;Black;1;12;256;4.5;5;640.36;3
vivo;11;X70 Pro+;Black;1;12;256;4.5;5;966.65;3
vivo;11;Y1s;Black;1;6;64;4.4;4;344.4;3
vivo;11;Y83 Pro;Black;1;4;64;4.4;4;192.15;1
vivo;11;Y33s;Black;1;3;64;4.4;4;483.26;3
vivo;11;X60;Black;1;4;64;4.4;4;199.27;2
vivo;11;Y12s;Black;1;4;64;4.4;4;398.67;3
vivo;11;Y12G;Black;1;3;64;4.4;4;338.25;3
vivo;11;Y20G;Black;1;4;64;4.4;4;289.91;3
vivo;11;Y95;Black;1;4;64;4.4;4;229.49;2
vivo;11;V9 Youth;Black;1;4;32;4.4;4;240.47;2
vivo;11;Y95;Black;1;4;32;4.4;4;205.44;2
vivo;11;V21 5G;Black;1;12;256;4.4;4;181.15;1
vivo;11;Y12G;Black;1;12;256;4.4;4;192.15;1
vivo;11;X60 Pro;Black;1;12;256;4.4;4;664.53;3
vivo;11;V23 5G;Black;1;12;256;4.4;4;422.84;3
vivo;11;Y90;Black;1;2;16;4.4;4;96.56;1
vivo;11;Y30;Black;1;8;128;4.4;4;169.06;1
vivo;11;Y91i;Black;1;8;128;4.4;4;181.15;1
vivo;11;V23 5G;Black;1;8;128;4.4;4;362.42;3
vivo;11;S1;Black;1;6;128;4.4;4;277.82;3
vivo;11;Y20 T;Black;1;6;64;4.3;4;187.19;1
vivo;11;V20 SE;Black;1;3;32;4.3;4;217.51;2
vivo;11;Y69;Black;1;3;32;4.3;4;169.06;1
vivo;11;V21 5G;Black;1;8;256;4.3;4;181.15;1
vivo;11;Y20;Black;1;8;256;4.3;4;169.12;1
vivo;11;Y71i;Black;1;2;16;4.3;4;108.64;1
vivo;11;Y20G;Black;1;6;128;4.3;4;161.93;1
vivo;11;X60;Black;1;8;128;4.3;4;169.06;1
vivo;11;Y75 5G;Black;1;8;128;4.3;4;265.74;2
vivo;11;Y20G 2021;Black;1;6;128;4.3;4;362.42;3
vivo;11;Y1S;Black;1;8;128;4.3;4;167.85;1
vivo;11;X21;Black;1;6;128;4.3;4;427.78;3
vivo;11;V23 Pro 5G;Black;1;8;128;4.3;4;471.18;3
vivo;11;V23 Pro 5G;Black;1;12;256;4.1;4;531.6;3
vivo;11;X50;Blue;2;8;256;5;5;543.69;3
vivo;11;X60 Pro;Blue;2;12;256;5;5;589.49;3
vivo;11;Y53s;Blue;2;6;64;4.5;5;205.31;2
vivo;11;Y12G;Blue;2;4;64;4.5;5;193.23;3
vivo;11;Z1 Pro;Blue;2;6;64;4.5;5;217.4;2
vivo;11;V9;Blue;2;4;64;4.5;5;282.78;3
vivo;11;Z1x;Blue;2;6;64;4.5;5;241.57;2
vivo;11;Y12G;Blue;2;6;128;4.5;5;193.23;3
vivo;11;U11;Blue;2;3;64;4.4;4;144.89;1
vivo;11;S1;Blue;2;6;64;4.4;4;253.66;2
vivo;11;X60;Blue;2;3;64;4.4;4;99.15;1
vivo;11;U12;Blue;2;4;64;4.4;4;169.06;1
vivo;11;Y33s;Blue;2;6;64;4.4;4;459.09;3
vivo;11;Y20A;Blue;2;3;64;4.4;4;447.01;3
vivo;11;Y1S;Blue;2;4;32;4.4;4;273.76;2
vivo;11;U10;Blue;2;3;32;4.4;4;132.81;1
vivo;11;V7;Blue;2;4;32;4.4;4;193.23;3
vivo;11;Y1s;Blue;2;4;32;4.4;4;277.82;3
vivo;11;Y20;Blue;2;4;32;4.4;4;235.53;2
vivo;11;Y12s;Blue;2;3;32;4.4;4;398.67;3
vivo;11;Y21;Blue;2;8;256;4.4;4;604.11;3
vivo;11;S1;Blue;2;4;128;4.4;4;241.57;2
vivo;11;Y1S;Blue;2;8;128;4.4;4;167.85;1
vivo;11;Y20 T;Blue;2;6;64;4.3;4;187.19;1
vivo;11;Y21;Blue;2;2;32;4.3;4;422.84;3
vivo;11;Y31;Blue;2;8;256;4.3;4;169.06;1
vivo;11;Y20G;Blue;2;3;16;4.3;4;229.49;2
vivo;11;Y51A;Blue;2;3;16;4.3;4;289.91;3
vivo;11;V20 Pro;Blue;2;4;128;4.3;4;132.81;1
vivo;11;V21 5G;Blue;2;8;128;4.3;4;398.67;3
vivo;11;Y75 5G;Blue;2;8;128;4.3;4;271.78;2
vivo;11;X50;Blue;2;8;128;4.3;4;483.26;3
vivo;11;Y21;Blue;2;6;128;4.3;4;398.67;3
vivo;11;Y20G;Blue;2;2;32;4.2;4;604.11;3
vivo;11;Y21A;Blue;2;4;64;4.1;4;174.61;1
vivo;11;Y21A;Blue;2;4;64;4.1;4;174.61;1
vivo;11;Y21T;Blue;2;4;128;4.1;4;199.27;2
vivo;11;Y33T;Blue;2;8;128;3.9;4;229.49;2
vivo;11;V21 5G;Chromatic;5;8;256;4.5;5;187.19;1
vivo;11;X70 Pro;Chromatic;5;8;256;4.5;5;604.11;3
vivo;11;X70 Pro;Chromatic;5;8;128;4.5;5;567.85;3
vivo;11;Y72 5G;Chromatic;5;4;64;4.4;4;241.57;2
vivo;11;Y73;Chromatic;5;3;64;4.4;4;350.33;3
vivo;11;Y51A;Chromatic;5;4;32;4.4;4;235.53;2
vivo;11;V20 2021;Chromatic;5;12;256;4.4;4;187.19;1
vivo;11;V21 5G;Chromatic;5;12;256;4.4;4;181.15;1
vivo;11;Y53s;Chromatic;5;8;128;4.3;4;175.23;1
vivo;11;V20 2021;Chromatic;5;8;128;4.3;4;144.89;1
vivo;11;V11 Pro;Gold;6;6;64;4.5;5;314.08;3
vivo;11;V9;Gold;6;4;64;4.5;5;253.66;2
vivo;11;V7+;Gold;6;4;64;4.4;4;267.06;2
vivo;11;Y83;Gold;6;4;32;4.4;4;193.23;3
vivo;11;V9 Youth;Gold;6;4;32;4.4;4;217.4;2
vivo;11;V23 5G;Gold;6;12;256;4.4;4;422.84;3
vivo;11;V23 5G;Gold;6;8;128;4.4;4;362.42;3
vivo;11;Y69;Gold;6;3;32;4.3;4;145;1
vivo;11;Y71i;Gold;6;2;16;4.3;4;108.64;1
vivo;11;V23 Pro 5G;Gold;6;12;256;4.1;4;531.6;3
vivo;11;V20 SE;Green;7;8;128;4.3;4;155.89;1
vivo;11;V21e;Grey;8;6;64;4.5;5;241.57;2
vivo;11;X50 Pro;Grey;8;8;256;4.5;5;664.53;3
vivo;11;Y72 5G;Grey;8;8;128;4.4;4;265.74;2
vivo;11;Y72 5G;Grey;8;4;128;4.4;4;254.97;2
vivo;11;Z1x;Purple;11;6;64;5;5;240.99;2
vivo;11;Y95;Purple;11;4;64;4.4;4;241.69;2
vivo;11;Y93;Purple;11;3;64;4.4;4;144.89;1
vivo;11;Y83 Pro;Purple;11;4;64;4.4;4;175.23;1
vivo;11;Y94;Purple;11;4;32;4.4;4;193.23;3
vivo;11;Y11;Red;12;4;64;4.4;4;205.32;2
vivo;11;V21e;Red;12;3;16;4.3;4;229.49;2
vivo;11;Y20A 2021;White;15;3;64;4.4;4;362.42;3
vivo;11;Y20A;White;15;4;128;4.4;4;248.94;2
vivo;11;V21 5G;White;15;8;256;4.3;4;181.15;1
vivo;11;Y21T;White;15;4;128;4.1;4;199.27;2
