Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
Xiaomi;12;Redmi Note 7 Pro;Black;1;4;64;4.5;5;163.13;2
Xiaomi;12;Redmi Note 4;Black;1;4;64;4.5;5;120.83;1
Xiaomi;12;Redmi Note 7 Pro;Black;1;6;64;4.5;5;193.34;2
Xiaomi;12;Redmi 9A;Black;1;2;32;4.5;5;91.71;1
Xiaomi;12;Redmi K20 Pro;Black;1;6;128;4.5;5;350.44;3
Xiaomi;12;Redmi Note 6 Pro;Black;1;4;64;4.4;4;149.23;2
Xiaomi;12;Redmi Note 7S;Black;1;4;64;4.4;4;167.98;2
Xiaomi;12;REDMI 9 Power;Black;1;4;64;4.4;4;138.96;3
Xiaomi;12;Mi Max 2;Black;1;4;64;4.4;4;169.06;2
Xiaomi;12;REDMI 9 Prime;Black;1;4;64;4.4;4;126.88;1
Xiaomi;12;Redmi 9A;Black;1;3;32;4.4;4;101.38;1
Xiaomi;12;Redmi 8A;Black;1;2;32;4.4;4;96.66;1
Xiaomi;12;Redmi 5;Black;1;3;32;4.4;4;119.64;1
Xiaomi;12;Redmi K20 Pro;Black;1;8;256;4.4;4;362.53;3
Xiaomi;12;Mi 11X;Black;1;6;128;4.4;4;293.45;3
Xiaomi;12;Mi 11X Pro 5G;Black;1;8;128;4.4;4;483.37;3
Xiaomi;12;Mi 10T;Black;1;8;128;4.4;4;422.95;3
Xiaomi;12;Mi A2;Black;1;4;64;4.3;4;144.89;2
Xiaomi;12;Redmi 8;Black;1;4;64;4.3;4;132.92;1
Xiaomi;12;Redmi Note 5;Black;1;4;64;4.3;4;132.92;1
Xiaomi;12;Redmi Y2;Black;1;4;64;4.3;4;132.92;1
Xiaomi;12;Redmi Note 7;Black;1;4;64;4.3;4;141.97;2
Xiaomi;12;Redmi Note 11T 5G;Black;1;6;64;4.3;4;229.35;3
Xiaomi;12;Redmi Y3;Black;1;4;64;4.3;4;151.05;2
Xiaomi;12;Redmi 7;Black;1;2;32;4.3;4;114.68;1
Xiaomi;12;Redmi 6A;Black;1;2;32;4.3;4;96.54;1
Xiaomi;12;Redmi Y2;Black;1;3;32;4.3;4;114.54;1
