Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
Google Pixel;2;2;Black;1;4;64;4.6;5;737.16;2
Google Pixel;2;3 XL;Black;1;4;64;4.6;5;1003.02;3
Google Pixel;2;2 XL;Black;1;4;128;4.6;5;990.94;3
Google Pixel;2;3 XL;Black;1;4;128;4.6;5;1111.78;3
Google Pixel;2;2;Black;1;4;128;4.6;5;845.92;2
Google Pixel;2;3;Black;1;4;64;4.5;5;845.91;2
Google Pixel;2;3a XL;Black;1;4;64;4.5;5;543.79;2
Google Pixel;2;3a;Black;1;4;64;4.5;5;483.37;3
Google Pixel;2;Nexus 5X;Black;1;2;16;4.5;5;145.02;1
Google Pixel;2;4a;Black;1;6;128;4.5;5;386.69;1
Google Pixel;2;3;Black;1;4;128;4.5;5;966.77;3
Google Pixel;2;Quite Black;Black;1;4;128;4.4;4;797.58;2
Google Pixel;2;Nexus 5X;Black;1;2;16;4.3;4;314.08;1
Google Pixel;2;Nexus 5X;Blue;2;2;32;4.3;4;362.42;1
Google Pixel;2;Nexus 5X;Blue;2;2;16;4.3;4;314.08;1
Google Pixel;2;3 XL;Pink;10;4;64;4.6;5;1003.02;3
Google Pixel;2;3 XL;Pink;10;4;128;4.6;5;1111.78;3
Google Pixel;2;3;Pink;10;4;64;4.5;5;858.01;3
Google Pixel;2;3;Pink;10;4;128;4.5;5;966.77;3
Google Pixel;2;XL;Silver;13;4;128;4.5;5;918.43;3
Google Pixel;2;Very Silver;Silver;13;4;32;4.4;4;688.82;2
Google Pixel;2;3 XL;White;15;4;64;4.6;5;1003.02;3
Google Pixel;2;3 XL;White;15;4;128;4.6;5;1111.78;3
Google Pixel;2;2;White;15;4;128;4.6;5;845.92;2
Google Pixel;2;3;White;15;4;64;4.5;5;858.01;3
Google Pixel;2;3a XL;White;15;4;64;4.5;5;543.79;2
Google Pixel;2;3a;White;15;4;64;4.5;5;483.37;3
Google Pixel;2;Nexus 5X;White;15;2;16;4.5;5;306.95;1
Google Pixel;2;3;White;15;4;128;4.5;5;966.77;3
