Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
Lenovo;3;K9;Black;1;3;32;4.2;4;120.83;2
Lenovo;3;A6 Note;Black;1;3;32;4.2;4;120.83;2
Lenovo;3;K8 Plus;Black;1;3;32;4.2;4;132.92;3
Lenovo;3;A6 Note;Black;1;3;32;4.2;4;120.83;2
Lenovo;3;S560;Black;1;1;8;4.1;4;241.68;3
Lenovo;3;K9 Note;Black;1;4;64;4.1;4;145;3
Lenovo;3;K10 Note;Black;1;4;64;4.1;4;205.43;3
Lenovo;3;K9 Note;Black;1;4;64;4.1;4;145;3
Lenovo;3;K8 Note;Black;1;4;64;4.1;4;157.09;3
Lenovo;3;K10 Plus;Black;1;4;64;4.1;4;169.17;3
Lenovo;3;P780;Black;1;1;4;4.1;4;186.22;3
Lenovo;3;K8;Black;1;3;32;4.1;4;90.51;3
Lenovo;3;K8 Note;Black;1;3;32;4.1;4;94.49;2
Lenovo;3;A5;Black;1;3;32;4.1;4;96.66;2
Lenovo;3;K8 Plus;Black;1;4;32;4.1;4;145;3
Lenovo;3;A6000 Plus;Black;1;2;16;4.1;4;90.62;3
Lenovo;3;A5;Black;1;2;16;4.1;4;84.58;1
Lenovo;3;VIBE P1m;Black;1;2;16;4.1;4;84.58;1
Lenovo;3;K10 Note;Black;1;6;128;4.1;4;229.6;3
Lenovo;3;A5000;Black;1;1;8;4;4;78.54;1
Lenovo;3;A7000;Black;1;2;8;4;4;66.45;1
Lenovo;3;K6 POWER;Black;1;4;32;4;4;96.66;2
Lenovo;3;Vibe Z2 Pro;Black;1;3;32;4;4;362.53;3
Lenovo;3;A7;Black;1;2;32;4;4;90.51;3
Lenovo;3;A6600d40;Black;1;2;16;4;4;96.66;2
Lenovo;3;K3 Note;Black;1;2;16;4;4;119.64;2
Lenovo;3;A2010;Black;1;1;8;3.9;4;66.34;1
Lenovo;3;A2010;Black;1;1;8;3.9;4;55.58;1
Lenovo;3;A7;Black;1;4;64;3.9;4;102.6;2
Lenovo;3;Z2 Plus;Black;1;3;32;3.9;4;99.7;2
Lenovo;3;K4 Note;Black;1;3;16;3.9;4;96.66;2
Lenovo;3;A7700;Black;1;2;16;3.9;4;78.54;1
Lenovo;3;B;Black;1;1;8;3.8;4;59.09;1
Lenovo;3;A1000;Black;1;1;8;3.8;4;42.89;1
Lenovo;3;A536;Black;1;1;8;3.8;4;93.05;2
Lenovo;3;Z2 Plus;Black;1;4;64;3.8;4;241.68;3
Lenovo;3;A328;Black;1;1;4;3.8;4;90.62;3
Lenovo;3;A7000 Turbo;Black;1;2;16;3.8;4;72.5;1
Lenovo;3;A6600;Black;1;1;16;3.8;4;66.45;1
Lenovo;3;A6000 Shot;Black;1;2;16;3.7;4;74.92;1
Lenovo;3;A6 Note;Blue;2;3;32;4.2;4;120.83;2
Lenovo;3;K9;Blue;2;3;32;4.2;4;120.83;2
Lenovo;3;A6 Note;Blue;2;3;32;4.2;4;120.83;2
Lenovo;3;A7;Blue;2;2;32;4;4;83.99;1
Lenovo;3;S850;Blue;2;1;16;4;4;193.34;3
Lenovo;3;A7;Blue;2;4;64;3.9;4;96.56;2
Lenovo;3;A7;Blue;2;4;64;3.9;4;96.56;2
Lenovo;3;P70;Blue;2;2;16;3.5;4;84.46;1
Lenovo;3;K10 Plus;Chromatic;5;4;64;4.1;4;169.17;3
Lenovo;3;P2;Gold;6;4;32;4.3;4;217.51;3
Lenovo;3;P2;Gold;6;3;32;4.3;4;205.43;3
