Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
LG;4;G7 ThinQ;Black;1;4;64;4.4;4;604.23;3
LG;4;G8X;Black;1;6;128;4.4;4;338.25;3
LG;4;Velvet Dual Screen;Black;1;6;128;4.4;4;543.69;3
LG;4;G7+ ThinQ;Black;1;6;128;4.4;4;664.65;3
LG;4;V30+;Black;1;4;128;4.3;4;362.53;3
LG;4;G6;Black;1;4;64;4.2;4;277.82;3
LG;4;G3 Stylus;Black;1;1;8;4.1;4;169.06;2
LG;4;K10 2017;Black;1;2;16;4.1;4;108.76;1
LG;4;Q Stylus+;Black;1;4;64;4;4;290.03;3
LG;4;Optimus L70;Black;1;1;4;4;4;154.57;2
LG;4;W11;Black;1;3;32;4;4;92.93;1
LG;4;G4;Black;1;3;32;4;4;434.92;3
LG;4;Q6;Black;1;3;32;4;4;205.32;2
LG;4;X Power;Black;1;2;16;4;4;102.71;1
LG;4;K9 4G LTE;Black;1;2;16;4;4;96.66;1
LG;4;X Screen K500I;Black;1;2;16;4;4;96.56;1
LG;4;K-10;Black;1;2;16;4;4;94.25;1
LG;4;L Bello;Black;1;1;8;3.9;4;84.59;1
LG;4;Q6+;Black;1;4;64;3.9;4;241.57;3
LG;4;Spirit;Black;1;1;8;3.8;4;96.68;1
LG;4;Q Stylus;Black;1;3;32;3.8;4;241.69;3
LG;4;Spirit 4G LTE;Black;1;1;8;3.7;4;151.06;2
LG;4;W10 Alpha;Black;1;3;32;3.7;4;88.21;1
LG;4;Q7;Black;1;3;32;3.3;3;120.73;3
LG;4;Q7+;Black;1;4;64;3.2;3;143.19;2
LG;4;G7+ ThinQ;Blue;2;6;128;4.4;4;664.65;3
LG;4;G6;Blue;2;4;64;4.2;4;360;3
LG;4;Wing;Blue;2;8;128;4.2;4;362.53;3
LG;4;Candy K9;Blue;2;2;16;4.1;4;71.29;1
LG;4;W31 Plus;Blue;2;4;128;4.1;4;132.92;2
LG;4;W31;Blue;2;4;64;4;4;120.83;3
LG;4;W31;Blue;2;4;64;4;4;120.83;3
LG;4;W41;Blue;2;4;64;4;4;126.88;2
LG;4;Q60;Blue;2;3;64;4;4;120.73;3
LG;4;W41;Blue;2;4;64;4;4;102.71;1
LG;4;Q6+;Blue;2;4;64;3.9;4;241.57;3
LG;4;W30;Blue;2;3;32;3.9;4;101.5;1
LG;4;W30 Plus;Blue;2;4;64;3.8;4;156.5;2
LG;4;W30 Pro;Blue;2;4;64;3.8;4;166.47;2
LG;4;K8;Blue;2;2;16;3.8;4;68.87;1
LG;4;W41 Plus;Blue;2;4;128;3.8;4;114.79;1
LG;4;W41 Pro;Blue;2;6;128;3.7;4;126.88;2
LG;4;Q7;Blue;2;3;32;3.3;3;202.9;2
LG;4;Q7+;Blue;2;4;64;3.2;3;253.75;3
LG;4;Stylus 2;Brown;4;2;16;4.1;4;120.83;3
LG;4;Stylus 2;Brown;4;2;16;4.1;4;100.91;1
LG;4;G4;Brown;4;3;32;4;4;369.79;3
LG;4;K7i;Brown;4;2;16;4;4;120.73;3
LG;4;G2 D802;Gold;6;2;16;4.5;5;386.36;3
LG;4;K10 2017;Gold;6;2;16;4.1;4;120.73;3
LG;4;G5;Gold;6;4;32;4;4;314.19;3
LG;4;Q6;Gold;6;3;32;4;4;205.32;2
LG;4;K10 K420DS;Gold;6;2;16;4;4;84.35;1
LG;4;Spirit;Gold;6;1;8;3.8;4;96.68;1
LG;4;K42;Green;7;3;64;3.9;4;132.81;2
LG;4;W30;Green;7;3;32;3.9;4;120.83;3
LG;4;W30 Plus;Green;7;4;64;3.8;4;154.56;2
LG;4;V40 ThinQ;Grey;8;6;128;4.4;4;725.08;3
LG;4;Wing;Grey;8;8;128;4.2;4;362.53;3
LG;4;G4;Grey;8;3;32;4;4;314.19;3
LG;4;K42;Grey;8;3;64;3.9;4;132.81;2
LG;4;W10;Grey;8;3;32;3.9;4;84.58;1
LG;4;W30;Grey;8;3;32;3.9;4;99.08;1
LG;4;V20;Pink;10;4;64;4.2;4;380.54;3
LG;4;W30 Pro;Purple;11;4;64;3.8;4;181.26;2
LG;4;W30 Pro;Purple;11;4;64;3.8;4;169.16;2
LG;4;G4;Red;12;3;32;4;4;434.92;3
LG;4;Velvet Dual Screen;Silver;13;6;128;4.4;4;543.69;3
LG;4;V30+;Silver;13;4;128;4.3;4;362.53;3
LG;4;V20;Silver;13;4;64;4.2;4;352.86;3
LG;4;Velvet;Silver;13;6;128;4.2;4;362.53;3
LG;4;G5;Silver;13;4;32;4;4;640.36;3
LG;4;X Cam;Silver;13;2;16;3.5;4;120.83;3
LG;4;Max X160;Silver;13;1;8;3.4;3;60.42;1
LG;4;Q7;Violet;14;3;32;3.3;3;205.39;2
LG;4;Q7+;Violet;14;4;64;3.2;3;253.79;3
LG;4;G Pro 2;White;15;3;16;4.5;5;507.81;3
LG;4;Nexus4 E960;White;15;2;16;4.5;5;317.81;3
LG;4;G7 ThinQ;White;15;4;64;4.4;4;604.23;3
LG;4;G7+ ThinQ;White;15;6;128;4.4;4;664.65;3
LG;4;L90 Dual;White;15;1;8;4.2;4;187.7;2
LG;4;G6;White;15;4;64;4.2;4;302.09;3
LG;4;K-7;White;15;1.5;8;4.1;4;79.64;1
LG;4;V20a;White;15;4;64;4.1;4;374.5;3
LG;4;Stylus 2 Plus;White;15;3;16;4.1;4;172.21;2
LG;4;Stylus 2;White;15;2;16;4.1;4;157.09;2
LG;4;K10 2017;White;15;2;16;4.1;4;90.62;1
LG;4;Q6;White;15;3;32;4;4;205.32;2
LG;4;G5;White;15;4;32;4;4;277.93;3
LG;4;Q6+;White;15;4;64;3.9;4;241.57;3
LG;4;G3 Beat;White;15;1;8;3.8;4;193.34;2
LG;4;Stylus 3;White;15;3;16;3.8;4;120.73;3
LG;4;L 80 Dual;White;15;1;4;3.7;4;171.14;2
LG;4;G4 Stylus 4G LTE;White;15;1;16;3.6;4;84.59;1
