Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
Motorola;5;Z Play;Black;1;3;32;"4,4";5;"302,1";3
Motorola;5;G;Black;1;1;16;"4,4";5;"120,83";3
Motorola;5;One Power;Black;1;4;64;"4,3";4;"229,6";3
Motorola;5;G7 Power;Black;1;4;64;"4,3";4;"193,34";3
Motorola;5;G6 Plus;Black;1;6;64;"4,3";4;"142,95";2
Motorola;5;G7;Black;1;4;64;"4,3";4;"120,83";3
Motorola;5;X4;Black;1;6;64;"4,3";4;"302,1";3
Motorola;5;X4;Black;1;4;64;"4,3";4;"290,02";3
Motorola;5;X4;Black;1;3;32;"4,3";4;"265,85";3
Motorola;5;G 3rd Generation;Black;1;1;8;"4,2";3;"120,83";3
Motorola;5;G6;Black;1;4;64;"4,2";3;"241,69";3
Motorola;5;E5 Plus;Black;1;3;32;"4,2";3;145;2
Motorola;5;G6;Black;1;3;32;"4,2";3;"169,17";2
Motorola;5;X 2nd Generation;Black;1;2;32;"4,2";3;"302,1";3
Motorola;5;C Plus;Black;1;2;16;"4,2";3;"84,58";1
Motorola;5;X 2nd Generation;Black;1;2;16;"4,2";3;"290,02";3
Motorola;5;X 2nd Generation;Black;1;2;16;"4,2";3;"175,23";2
Motorola;5;2nd Generation;Black;1;1;16;"4,2";3;"108,75";1
Motorola;5;Z2 Force;Black;1;6;64;"4,1";2;"181,26";3
Motorola;5;E6s;Black;1;4;64;"4,1";2;"96,66";1
Motorola;5;One;Black;1;4;64;"4,1";2;"181,26";3
Motorola;5;G6 Play;Black;1;3;32;"4,1";2;"157,09";2
Motorola;5;Razr 5G;Black;1;8;256;4;2;"1087,6";3
Motorola;5;G4 Plus;Black;1;2;16;4;2;"84,58";1
Motorola;5;G4;Black;1;2;16;"3,9";2;"77,33";1
Motorola;5;Edge 20 Fusion;Black;1;6;128;"3,9";2;"259,81";3
Motorola;5;Razr;Black;1;6;128;"3,8";2;"906,33";3
Motorola;5;One Fusion+;Blue;2;6;128;"4,4";5;"211,47";3
Motorola;5;G8 Plus;Blue;2;4;64;"4,3";4;"157,09";2
Motorola;5;G8 Power Lite;Blue;2;4;64;"4,3";4;"120,83";3
Motorola;5;One Macro;Blue;2;4;64;"4,3";4;"120,83";3
Motorola;5;G8 Power Lite;Blue;2;4;64;"4,3";4;"120,83";3
Motorola;5;X4;Blue;2;6;64;"4,3";4;"302,1";3
Motorola;5;X4;Blue;2;4;64;"4,3";4;"290,02";3
Motorola;5;E7 Plus;Blue;2;4;64;"4,2";3;"108,75";1
Motorola;5;G9;Blue;2;4;64;"4,2";3;"132,92";2
Motorola;5;One Action;Blue;2;4;128;"4,2";3;"132,92";2
Motorola;5;One Vision;Blue;2;4;128;"4,2";3;"181,26";3
Motorola;5;G30;Blue;2;4;64;"4,1";2;"132,92";2
Motorola;5;E7 Power;Blue;2;4;64;"4,1";2;"106,33";1
Motorola;5;G10 Power;Blue;2;4;64;"4,1";2;"126,88";2
Motorola;5;E6s;Blue;2;4;64;"4,1";2;"96,66";1
Motorola;5;E7 Power;Blue;2;2;32;"4,1";2;"84,58";1
Motorola;5;G5s;Blue;2;4;32;"4,1";2;"119,26";1
Motorola;5;Edge 20 Fusion;Blue;2;6;128;"3,9";2;"259,81";3
Motorola;5;One Vision;Bronze;3;4;128;"4,2";3;"181,26";3
Motorola;5;One Vision;Bronze;3;4;128;"4,2";3;"181,26";3
Motorola;5;Z2 Play;Gold;6;4;64;"4,4";5;"338,36";3
Motorola;5;E5;Gold;6;2;16;"4,3";4;"132,92";2
Motorola;5;E5 Plus;Gold;6;3;32;"4,2";3;145;2
Motorola;5;C Plus;Gold;6;2;16;"4,2";3;"84,58";1
Motorola;5;G6 Play;Gold;6;3;32;"4,1";2;"157,09";2
Motorola;5;G5s;Gold;6;4;32;"4,1";2;"101,39";1
Motorola;5;M;Gold;6;4;64;"3,9";2;"157,09";2
Motorola;5;M;Gold;6;3;32;"3,9";2;"181,26";3
Motorola;5;Razr;Gold;6;6;128;"3,8";2;"906,33";3
Motorola;5;Edge 20;Green;7;8;128;"4,4";5;"362,53";3
Motorola;5;G9;Green;7;4;64;"4,2";3;"132,92";2
Motorola;5;Z2 Play;Grey;8;4;64;"4,4";5;"338,36";3
Motorola;5;G40 Fusion;Grey;8;4;64;"4,3";4;"175,21";2
Motorola;5;E5;Grey;8;2;16;"4,3";4;"145,02";2
Motorola;5;G40 Fusion;Grey;8;6;128;"4,3";4;"199,38";3
Motorola;5;G5;Grey;8;3;16;"4,2";3;"65,86";1
Motorola;5;G60;Grey;8;6;128;"4,2";3;"217,51";3
Motorola;5;G5;Grey;8;6;128;"4,2";3;"253,76";3
Motorola;5;G30;Grey;8;4;64;"4,1";2;"132,92";2
Motorola;5;G9 Power;Grey;8;4;64;"4,1";2;145;2
Motorola;5;G10 Power;Grey;8;4;64;"4,1";2;"126,88";2
Motorola;5;G5s;Grey;8;4;32;"4,1";2;"88,82";1
Motorola;5;M;Grey;8;4;64;"3,9";2;"120,83";3
Motorola;5;M;Grey;8;3;32;"3,9";2;"181,26";3
Motorola;5;G5 Plus;Grey;8;3;32;"3,7";2;"132,92";2
Motorola;5;E7 Plus;Orange;9;4;64;"4,2";3;"108,75";1
Motorola;5;G8 Plus;Pink;10;4;64;"4,3";4;"157,09";2
Motorola;5;E6s;Red;12;4;64;"4,1";2;"96,66";1
Motorola;5;E7 Power;Red;12;4;64;"4,1";2;"106,33";1
Motorola;5;E7 Power;Red;12;2;32;"4,1";2;"84,58";1
Motorola;5;Edge+;Red;12;12;256;"4,1";2;"785,49";3
Motorola;5;G5;Silver;13;6;128;"4,2";3;"253,76";3
Motorola;5;M;Silver;13;4;64;"3,9";2;"131,84";2
Motorola;5;M;Silver;13;3;32;"3,9";2;"181,26";3
Motorola;5;One Macro;Violet;14;4;64;"4,3";4;"114,79";1
Motorola;5;G9 Power;Violet;14;4;64;"4,1";2;145;2
Motorola;5;Z Play;White;15;3;32;"4,4";5;"302,1";3
Motorola;5;Edge 20;White;15;8;128;"4,4";5;"362,53";3
Motorola;5;One Fusion+;White;15;6;128;"4,4";5;"211,47";3
Motorola;5;G40 Fusion;White;15;4;64;"4,3";4;"175,21";2
Motorola;5;G7;White;15;4;64;"4,3";4;"120,83";3
Motorola;5;G40 Fusion;White;15;6;128;"4,3";4;"199,38";3
Motorola;5;G 3rd Generation;White;15;1;8;"4,2";3;145;2
Motorola;5;C Plus;White;15;2;16;"4,2";3;"83,38";1
Motorola;5;X Play;White;15;2;16;"4,2";3;"211,47";3
Motorola;5;G 2nd Generation;White;15;1;16;"4,2";3;"108,75";1
Motorola;5;One Action;White;15;4;128;"4,2";3;"132,92";2
Motorola;5;G60;White;15;6;128;"4,2";3;"217,51";3
Motorola;5;E 2nd Gen 3G;White;15;1;8;"4,1";2;"72,5";1
Motorola;5;One;White;15;4;64;"4,1";2;"181,26";3
Motorola;5;G4 Plus;White;15;3;32;4;2;"84,58";1
Motorola;5;G4 Plus;White;15;2;16;4;2;"72,5";1
Motorola;5;C;White;15;1;16;"3,9";2;"66,45";1
Motorola;5;G4;White;15;2;16;"3,9";2;"84,58";1
