Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
Nokia;6;7 Plus;Black;1;4;64;4.3;4;145.02;2
Nokia;6;5.1 Plus;Black;1;3;32;4.3;4;159.5;3
Nokia;6;Lumia 920;Black;1;1;32;4.3;4;491.83;3
Nokia;6;5.1 Plus;Black;1;3;32;4.3;4;159.5;3
Nokia;6;8 Sirocco;Black;1;6;128;4.3;4;362.42;3
Nokia;6;6.2;Black;1;4;64;4.2;3;155.27;2
Nokia;6;3.1 Plus;Black;1;3;32;4.2;3;85.66;1
Nokia;6;7.2;Black;1;4;64;4.1;3;241.68;3
Nokia;6;7.2;Black;1;6;64;4.1;3;253.76;3
Nokia;6;5.1 Plus;Black;1;4;64;4.1;3;120.73;3
Nokia;6;6.1 Plus;Black;1;6;64;4.1;3;138.85;2
Nokia;6;3.2;Black;1;3;32;4.1;3;126.88;2
Nokia;6;3.2;Black;1;3;32;4.1;3;145;2
Nokia;6;5;Black;1;3;16;4.1;3;151.05;2
Nokia;6;2.1;Black;1;1;8;4;2;78.55;1
Nokia;6;2.4;Black;1;3;64;4;2;125.67;2
Nokia;6;5.1;Black;1;3;32;4;2;95.46;1
Nokia;6;3.1;Black;1;3;32;4;2;84.47;1
Nokia;6;2.3;Black;1;2;32;4;2;120.83;3
Nokia;6;2.2;Black;1;3;32;4;2;116;1
Nokia;6;2.2;Black;1;2;16;4;2;103.92;1
Nokia;6;5;Black;1;2;16;4;2;84.58;1
Nokia;6;5.4;Black;1;4;64;3.9;2;157.09;3
Nokia;6;5.4;Black;1;4;64;3.9;2;157.09;3
Nokia;6;3.4;Black;1;4;64;3.9;2;145;2
Nokia;6;5.4;Black;1;6;64;3.9;2;175.21;3
Nokia;6;3.4;Black;1;4;64;3.9;2;145;2
Nokia;6;6;Black;1;4;64;3.9;2;235.64;3
Nokia;6;5.4;Black;1;6;64;3.9;2;175.21;3
Nokia;6;6;Black;1;3;32;3.9;2;169.17;3
Nokia;6;3.1;Black;1;2;16;3.9;2;120.85;3
Nokia;6;3.1;Black;1;2;16;3.9;2;120.83;3
Nokia;6;3;Black;1;2;16;3.9;2;63.93;1
Nokia;6;2;Black;1;1;8;3.8;1;84.68;1
Nokia;6;3.2;Black;1;2;16;3.8;1;120.83;3
Nokia;6;5.1 Plus;Black;1;6;64;3.7;1;181.26;3
Nokia;6;5.3;Black;1;6;64;3.7;1;157.09;3
Nokia;6;5.3;Black;1;4;64;3.5;1;132.92;2
Nokia;6;C20 Plus;Blue;2;2;32;4.4;4;108.75;1
Nokia;6;8.1;Blue;2;4;64;4.3;4;348.41;3
Nokia;6;6.1 Plus;Blue;2;4;64;4.3;4;224.76;3
Nokia;6;8.1;Blue;2;6;128;4.3;4;277.93;3
Nokia;6;6.2;Blue;2;4;64;4.2;3;166.65;3
Nokia;6;3.1 Plus;Blue;2;3;32;4.2;3;100.29;1
Nokia;6;3.1 Plus;Blue;2;3;32;4.2;3;126.16;2
Nokia;6;7.2;Blue;2;6;64;4.1;3;253.76;3
Nokia;6;7.1;Blue;2;4;64;4.1;3;135.34;2
Nokia;6;7.2;Blue;2;4;64;4.1;3;241.68;3
Nokia;6;6.1 Plus;Blue;2;6;64;4.1;3;144.89;2
Nokia;6;7.2;Blue;2;6;64;4.1;3;253.76;3
Nokia;6;5.1 Plus;Blue;2;4;64;4.1;3;120.54;3
Nokia;6;7.2;Blue;2;4;64;4.1;3;241.68;3
Nokia;6;5;Blue;2;3;16;4.1;3;195.76;3
Nokia;6;2.1;Blue;2;1;8;4;2;93.2;1
Nokia;6;8;Blue;2;4;64;4;2;447.12;3
Nokia;6;8;Blue;2;4;64;4;2;356.37;3
Nokia;6;8;Blue;2;4;64;4;2;447.12;3
Nokia;6;2.4;Blue;2;3;64;4;2;125.67;2
Nokia;6;2.3;Blue;2;2;32;4;2;120.83;3
Nokia;6;2.3;Blue;2;2;32;4;2;102.1;1
Nokia;6;5.1;Blue;2;3;32;4;2;196.98;3
Nokia;6;5;Blue;2;2;16;4;2;77.34;1
Nokia;6;1;Blue;2;1;8;3.9;2;58.01;1
Nokia;6;3.4;Blue;2;4;64;3.9;2;145;2
Nokia;6;6;Blue;2;3;32;3.9;2;169.06;3
Nokia;6;3;Blue;2;2;16;3.9;2;131.71;2
Nokia;6;C20 Plus;Blue;2;3;32;3.8;1;120.83;3
Nokia;6;C3;Blue;2;3;32;3.8;1;90.62;1
Nokia;6;9;Blue;2;6;128;3.8;1;680.35;3
Nokia;6;5.1 Plus;Blue;2;6;64;3.7;1;119.64;1
Nokia;6;5.3;Blue;2;6;64;3.7;1;157.09;3
Nokia;6;C3;Blue;2;2;16;3.7;1;88.1;1
Nokia;6;5.3;Blue;2;4;64;3.5;1;144.88;2
Nokia;6;6.1;Gold;6;3;32;4.2;3;217.27;3
Nokia;6;6.1;Gold;6;4;64;4;2;221.15;3
Nokia;6;6.1;Gold;6;4;32;4;2;114.8;1
Nokia;6;5.1;Gold;6;3;32;4;2;95.35;1
Nokia;6;X2 Dual SIM;Green;7;1;4;4.2;3;120.83;3
Nokia;6;C20 Plus;Grey;8;2;32;4.4;4;108.75;1
Nokia;6;XR 20;Grey;8;6;128;4.3;4;567.83;3
Nokia;6;8.1;Grey;8;6;128;4.3;4;265.85;3
Nokia;6;6.1;Grey;8;3;32;4.2;3;217.27;3
Nokia;6;7.1;Grey;8;4;64;4.1;3;157.08;3
Nokia;6;3.2;Grey;8;3;32;4.1;3;149.84;2
Nokia;6;2.1;Grey;8;1;8;4;2;93.52;1
Nokia;6;8;Grey;8;4;64;4;2;447.12;3
Nokia;6;2.2;Grey;8;3;32;4;2;116;1
Nokia;6;2.2;Grey;8;2;16;4;2;103.92;1
Nokia;6;C20 Plus;Grey;8;3;32;3.8;1;120.83;3
Nokia;6;3.2;Grey;8;2;16;3.8;1;123.25;2
Nokia;6;6.1;Orange;9;3;32;4.2;3;180.39;3
Nokia;6;5;Orange;9;3;16;4.1;3;184.88;3
Nokia;6;8;Orange;9;4;64;4;2;471.3;3
Nokia;6;6.1;Orange;9;4;32;4;2;157.09;3
Nokia;6;5;Orange;9;2;16;4;2;84.58;1
Nokia;6;2.4;Purple;11;3;64;4;2;125.67;2
Nokia;6;1;Red;12;1;8;3.9;2;56.46;1
Nokia;6;5;Silver;13;3;16;4.1;3;86.27;1
Nokia;6;5;Silver;13;2;16;4;2;81.46;1
Nokia;6;6;Silver;13;3;32;3.9;2;96.66;1
Nokia;6;6.1 Plus;White;15;4;64;4.3;4;224.76;3
Nokia;6;7 Plus;White;15;4;64;4.3;4;193.34;3
Nokia;6;5.1 Plus;White;15;3;32;4.3;4;159.5;3
Nokia;6;3.1 Plus;White;15;3;32;4.2;3;89.41;1
Nokia;6;6.1;White;15;4;64;4;2;151.05;2
Nokia;6;6.1;White;15;4;32;4;2;205.44;3
Nokia;6;3.1;White;15;3;32;4;2;90.51;1
Nokia;6;3;White;15;2;16;3.9;2;103.78;1
Nokia;6;3;White;15;2;16;3.9;2;66.45;1
Nokia;6;2;White;15;1;8;3.8;1;76.07;1
Nokia;6;2.3;Yellow;16;2;32;4;2;120.83;3
Nokia;6;4.2;Yellow;16;3;32;4;2;165.55;3
Nokia;6;C3;Yellow;16;3;32;3.8;1;120.83;3
Nokia;6;5.3;Yellow;16;6;64;3.7;1;157.09;3
Nokia;6;C3;Yellow;16;2;16;3.7;1;88.21;1
Nokia;6;5.3;Yellow;16;4;64;3.5;1;132.92;2
