Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
OPPO;7;A53;Black;1;4;64;4.5;5;144.89;1
OPPO;7;F9;Black;1;4;64;4.5;5;229.61;3
OPPO;7;A53;Black;1;4;64;4.5;5;144.89;1
OPPO;7;Reno2 Z;Black;1;8;256;4.5;5;356.36;3
OPPO;7;Reno 10x Zoom;Black;1;6;128;4.5;5;471.18;3
OPPO;7;F7;Black;1;6;128;4.5;5;338.25;3
OPPO;7;A5s;Black;1;4;64;4.4;4;132.81;1
OPPO;7;A12;Black;1;4;64;4.4;4;132.81;1
OPPO;7;F7;Black;1;4;64;4.4;4;277.82;3
OPPO;7;K1;Black;1;4;64;4.4;4;181.27;2
OPPO;7;Ravichandran Ashwin Limited Edition;Black;1;4;64;4.4;4;277.82;3
OPPO;7;A5 2020;Black;1;3;64;4.4;4;181.15;2
OPPO;7;Rohit Sharma Limited Edition;Black;1;4;64;4.4;4;277.82;3
OPPO;7;F5;Black;1;6;64;4.4;4;181.15;2
OPPO;7;Ravichandran Ashwin Limited Edition;Black;1;4;64;4.4;4;277.82;3
OPPO;7;Hardik Pandya Limited Editon;Black;1;4;64;4.4;4;277.82;3
OPPO;7;A5s;Black;1;3;32;4.4;4;114.68;1
OPPO;7;A12;Black;1;3;32;4.4;4;114.68;1
OPPO;7;F5;Black;1;4;32;4.4;4;187.31;2
OPPO;7;A83;Black;1;3;32;4.4;4;163.02;1
OPPO;7;Reno3 Pro;Black;1;8;256;4.4;4;323.84;3
OPPO;7;Reno6 Pro 5G;Black;1;12;256;4.4;4;483.26;3
OPPO;7;Reno2;Black;1;8;256;4.4;4;471.18;3
OPPO;7;Reno 10x Zoom;Black;1;8;256;4.4;4;507.43;3
OPPO;7;A71 New Edition;Black;1;3;16;4.4;4;120.12;1
OPPO;7;F15;Black;1;8;128;4.4;4;229.49;3
OPPO;7;Reno3 Pro;Black;1;8;128;4.4;4;299.31;3
OPPO;7;A52;Black;1;4;128;4.4;4;181.15;2
OPPO;7;Reno5 Pro 5G;Black;1;8;128;4.4;4;434.92;3
OPPO;7;F15;Black;1;4;128;4.4;4;193.23;2
OPPO;7;Reno;Black;1;8;128;4.4;4;362.53;3
OPPO;7;A54;Black;1;4;64;4.3;4;181.15;2
OPPO;7;F3 Plus;Black;1;6;64;4.3;4;277.82;3
OPPO;7;K1;Black;1;6;64;4.3;4;169.06;2
