Brands_Texto;Brands;Models;Colors_Texto;Colors;Memory (GB);Storage (GB);Rating_original;Rating;Selling Price Dolar_oringinal;Selling Price Dolar
POCO;8;M4 Pro 5G;Black;1;4;64;4.5;5;181.26;2
POCO;8;F1;Black;1;6;64;4.5;5;265.85;3
POCO;8;F1;Black;1;8;256;4.5;5;374.61;3
POCO;8;F1;Black;1;6;256;4.5;5;350.44;3
POCO;8;F1;Black;1;6;128;4.5;5;302.1;3
POCO;8;M2 Pro;Black;1;4;64;4.4;4;169.17;2
POCO;8;M4 Pro;Black;1;6;64;4.4;4;181.26;2
POCO;8;M2 Pro;Black;1;6;64;4.4;4;181.26;2
POCO;8;X3 Pro;Black;1;6;128;4.4;4;229.6;3
POCO;8;M2;Black;1;6;128;4.4;4;138.96;1
POCO;8;M4 Pro;Black;1;6;128;4.4;4;199.38;2
POCO;8;M4 Pro;Black;1;8;128;4.4;4;217.51;3
POCO;8;M4 Pro 5G;Black;1;6;128;4.4;4;205.43;3
POCO;8;X3 Pro;Black;1;8;128;4.4;4;253.76;3
POCO;8;M4 Pro 5G;Black;1;8;128;4.4;4;229.6;3
POCO;8;M3;Black;1;4;64;4.3;4;132.92;1
POCO;8;M3;Black;1;6;64;4.3;4;145;1
POCO;8;C3;Black;1;4;64;4.3;4;108.75;1
POCO;8;C3;Black;1;3;32;4.3;4;96.66;1
POCO;8;F3 GT;Black;1;8;256;4.3;4;374.61;3
POCO;8;F3 GT;Black;1;8;128;4.3;4;350.44;3
POCO;8;F3 GT;Black;1;6;128;4.3;4;350.44;3
POCO;8;M3 Pro 5G;Black;1;6;128;4.2;4;199.38;2
POCO;8;F1;Blue;2;6;64;4.5;5;265.85;3
POCO;8;X2;Blue;2;6;64;4.5;5;181.26;2
POCO;8;M4 Pro 5G;Blue;2;4;64;4.5;5;181.26;2
POCO;8;F1;Blue;2;8;256;4.5;5;374.61;3
POCO;8;X2 Special Edition;Blue;2;6;128;4.5;5;193.34;2
POCO;8;C31;Blue;2;4;64;4.4;4;108.75;1
POCO;8;M2 Pro;Blue;2;6;64;4.4;4;181.26;2
POCO;8;M4 Pro;Blue;2;6;64;4.4;4;181.26;2
POCO;8;M2 Pro;Blue;2;4;64;4.4;4;169.17;2
POCO;8;C31;Blue;2;3;32;4.4;4;96.66;1
POCO;8;X3 Pro;Blue;2;6;128;4.4;4;229.6;3
POCO;8;M4 Pro;Blue;2;6;128;4.4;4;199.38;2
POCO;8;X3 Pro;Blue;2;8;128;4.4;4;253.76;3
POCO;8;M4 Pro 5G;Blue;2;8;128;4.4;4;229.6;3
POCO;8;M2;Blue;2;6;128;4.4;4;138.96;1
POCO;8;M2 Pro;Blue;2;6;128;4.4;4;193.34;2
POCO;8;M4 Pro;Blue;2;8;128;4.4;4;217.51;3
POCO;8;M4 Pro 5G;Blue;2;6;128;4.4;4;205.43;3
POCO;8;M3;Blue;2;6;64;4.3;4;145;1
POCO;8;M3;Blue;2;4;64;4.3;4;132.92;1
POCO;8;M2 Reloaded;Blue;2;4;64;4.3;4;120.83;1
POCO;8;C3;Blue;2;4;64;4.3;4;108.75;1
POCO;8;C3;Blue;2;3;32;4.3;4;96.66;1
POCO;8;M3 Pro 5G;Blue;2;6;128;4.2;4;199.38;2
POCO;8;M2 Pro;Green;7;6;64;4.3;4;181.26;2
POCO;8;C3;Green;7;4;64;4.3;4;108.75;1
POCO;8;M2 Pro;Green;7;4;64;4.3;4;169.17;2
POCO;8;C3;Green;7;3;32;4.3;4;96.66;1
POCO;8;M2 Pro;Green;7;6;128;4.3;4;193.34;2
POCO;8;C31;Grey;8;4;64;4.4;4;108.75;1
POCO;8;C31;Grey;8;3;32;4.4;4;96.66;1
POCO;8;M2 Reloaded;Grey;8;4;64;4.3;4;120.83;1
POCO;8;X2;Purple;11;8;256;4.5;5;259.81;3
POCO;8;X2;Purple;11;6;128;4.5;5;193.34;2
POCO;8;X2 Special Edition;Purple;11;6;128;4.5;5;241.68;3
POCO;8;X2;Red;12;6;64;4.5;5;181.26;2
POCO;8;F1;Red;12;8;256;4.5;5;374.61;3
POCO;8;X2;Red;12;8;256;4.5;5;259.81;3
POCO;8;F1;Red;12;6;128;4.5;5;302.1;3
POCO;8;X2;Red;12;6;128;4.5;5;193.34;2
POCO;8;M2;Red;12;6;64;4.4;4;126.88;1
POCO;8;M2;Red;12;6;128;4.4;4;138.96;1
POCO;8;F3 GT;Silver;13;6;128;4.3;4;350.44;3
POCO;8;F3 GT;Silver;13;8;128;4.3;4;350.44;3
POCO;8;M4 Pro 5G;Yellow;16;4;64;4.5;5;181.26;2
POCO;8;M4 Pro 5G;Yellow;16;6;128;4.4;4;205.43;3
POCO;8;M4 Pro 5G;Yellow;16;8;128;4.4;4;229.6;3
POCO;8;M3;Yellow;16;6;64;4.3;4;145;1
POCO;8;M3;Yellow;16;4;64;4.3;4;132.92;1
POCO;8;M3 Pro 5G;Yellow;16;6;128;4.2;4;199.38;2
